Asset,Neutral,Window,Train,Test
EURUSD=X,12,2,0.23786776576634094,-1.025119334178167
EURGBP=X,12,2,-0.3113483971456605,0.5165281049523824
EURCHF=X,8,4,0.1761803776042385,0.5944163416585247
EURCAD=X,2,20,0.9391605323935766,-2.598364002636675
EURCNY=X,16,4,1.335062789609398,-0.5495001332128744
EURJPY=X,18,20,0.18998574172873692,
EURSEK=X,2,2,0.7175712311764515,-0.3967793558544521
EURHUF=X,4,2,0.42995042771644076,1.2135347622523647
GBPUSD=X,16,18,0.7649621518214305,0.6111907301290744
GBPCNY=X,16,20,-0.4425999652611167,-2.2378789321423107
GBPJPY=X,14,4,0.3204004571281769,0.9451311997448044
USDCHF=X,14,18,0.6774753960755531,-0.3588829353644414
USDCAD=X,8,16,0.531497731080341,-1.5388675275690251
USDCNY=X,18,20,1.3313466781046388,1.1994385601978563
USDHKD=X,12,8,0.568772264387461,2.3582114237536196
USDSGD=X,14,2,-0.003425936975223993,0.24182561087968646
USDINR=X,14,4,0.17819023623533903,-0.5052198632561407
USDMXN=X,12,18,1.3304424896521856,-0.2831073234978106
USDPHP=X,18,20,0.20793380764342448,
USDTHB=X,2,2,1.5009426156393708,0.5515931867087781
USDMYR=X,0,2,0.6931621215621019,-0.6728634983873399
USDZAR=X,4,14,2.2022556081970808,1.1584785818230723
USDJPY=X,4,12,0.7848087942008387,-0.49243802447366086
AUDJPY=X,8,16,0.8371064643866892,0.25962637368647346
NZDUSD=X,10,2,0.40178254015218307,-0.8100985416667947
BTC-USD,4,16,2.6677865223092954,2.641429904334174
ETH-USD,2,12,1.777899274019939,0.7848424963797724
BNB-USD,2,12,3.482494235058116,1.1931133188987604
USDT-USD,18,20,-0.0584966429349161,
XRP-USD,4,16,3.7695892838403178,0.049488264610143586
ADA-USD,6,8,2.2468604320494796,0.8814689974993337
DOGE-USD,6,2,2.9026471927401456,1.3823470706930525
DOT1-USD,0,2,,
UNI3-USD,0,2,,
LTC-USD,6,20,1.1485315812861137,1.919075991866907
BCH-USD,0,2,2.202897036871111,0.9185151719537805
LINK-USD,2,12,1.7339346315337965,1.0743092479497613
VET-USD,14,20,1.958360244464552,-1.3303067769774015
USDC-USD,8,2,-1.224117749713005,-2.8618982964099233
SOL1-USD,0,2,,
XLM-USD,8,4,2.8072242377438252,0.8169158248392054
FIL-USD,18,20,5.055837777012895,
THETA-USD,4,20,1.1220604512389365,-1.6740624580922343
TRX-USD,10,2,1.8587381213937597,0.6307397602623535
XMR-USD,12,8,1.0689886075713406,1.0294958501608127
LUNA1-USD,0,2,,0.49162064193923405
NEO-USD,4,16,2.5272751201618293,1.9135098759605391
EOS-USD,0,2,3.028990565912306,-0.26179966395933707
MIOTA-USD,6,10,1.9527994865311102,0.9170496734282687
BSV-USD,0,2,4.076797294767442,0.19795272384801307
AAPL,16,4,1.3424241326789204,0.5861180630073914
MSFT,4,20,0.5398000104174708,-1.8612025464958348
AMZN,6,8,1.1434131441470174,0.5156872346884297
TSLA,0,2,0.6904371234582168,0.4258961093955908
FB,8,20,-0.04454703711278484,-0.011217855780662565
GOOG,0,2,1.4022003223494075,1.7477163849244381
GOOGL,0,4,0.8821581194494326,2.036253975382576
NVDA,4,12,0.9300815809335348,1.8383913234522915
PYPL,6,18,0.3318859519743896,-0.8076632711870197
INTC,16,6,0.5478268393328953,0.3812824126837607
CMCSA,16,20,0.1665096736409998,
NFLX,0,2,1.34855963028997,0.18706344780925532
ADBE,4,10,0.43317608899230303,0.46229260167040986
CSCO,14,14,0.8898552462561929,0.9387080509748906
PEP,12,10,0.6884752010589442,-1.440408289659758
AVGO,2,20,0.7090383071474716,-0.2102230407968062
TXN,6,16,0.3759813475983693,-0.3474637926063649
TMUS,8,4,-0.1489175703625374,-1.7161892520223618
COST,0,2,1.0570575739448025,0.6788569212453595
QCOM,4,16,1.3821887125446597,1.0849007227229392
AMGN,6,4,1.7310985088576198,1.1219527824632793
SBUX,10,2,0.697668272708083,1.0921121161749976
AMAT,18,20,1.6036617521497627,
CHTR,10,2,0.650327622098966,3.167965714011542
INTU,4,12,1.0067490749129506,-0.4938280368439901
MU,16,20,3.4287591769203547,1.2272369915662424
BKNG,4,2,1.385500947853905,1.4653711905809974
AMD,14,4,1.5400151113517464,1.1587794863353424
LRCX,12,2,0.7192742512517077,1.4668458103144197
ISRG,0,2,1.3531948710473034,1.500003669476544
MDLZ,8,12,-0.25926916821871276,1.7175471187023197
GILD,8,2,1.2524054249075236,-0.6057995020341508
FISV,6,2,0.8819749619299881,-0.9042747735037838
ADP,2,10,0.8401100149906402,0.22651003930372635
ZM,0,2,,0.3796747518372728
MELI,14,10,0.556972185955043,-0.8588320621870227
ATVI,18,20,13.947578218312064,
CSX,0,2,0.5973331251961257,-1.533511798803931
JD,6,2,1.2273053626588868,1.45468430066967
ADSK,4,16,2.198745496623379,-0.15657379019159842
BIDU,0,2,1.679454753053493,0.21526640578648049
ILMN,2,2,0.787096832176551,0.9416919362307231
ADI,0,2,0.5221762902979021,1.6849613724970753
NXPI,2,18,1.5087644073995423,-1.5091824886216214
VRTX,2,10,0.17128694143864456,-1.7258607441217875
KLAC,8,12,0.31509356239566255,0.06423772718109497
MRNA,0,2,-5.471368740376732,1.2903993081900003
PDD,2,10,1.3349554152836762,2.061182386088126
REGN,12,18,0.5691005891288556,0.9124199383312874
KHC,18,20,1.1768117816162071,-0.1821325182079832
MNST,8,4,1.0860415111946755,3.948753845141631
KDP,0,2,1.520725412918408,1.4449986506792103
MAR,14,18,3.0119973813005956,0.118430943765208
ASML,10,2,0.8374884866643149,0.7271377463971188
WBA,0,2,0.4632747942838268,0.38674378343659255
WDAY,0,2,1.0814516784949622,-0.515951658035521
ROST,12,12,0.9879688367372953,-0.4795432486975564
ALGN,4,12,2.7364143126554925,2.228507343664788
EXC,10,2,0.7280760188386978,-1.5735162194148267
MCHP,2,20,0.9400545786049425,-1.0903103208129934
AEP,10,2,0.9838732181910782,-0.43571371279453114
EBAY,0,2,0.5374142390284411,1.201895874366953
CTSH,12,18,1.1217906892951452,-0.9954510739209127
IDXX,2,10,1.9509896929467878,0.628444113384826
BIIB,4,2,0.9818624225300332,-0.8211662745613912
EA,4,2,1.4343821509107824,-1.704689914044943
CDNS,18,20,0.4013753925363968,
SNPS,0,4,0.624123539576253,1.5237698525203032
LULU,14,2,0.7472427967582466,-0.5122004077893638
MTCH,12,14,1.0911690083907797,0.26659212100982854
DOCU,16,2,1.355130148947957,0.5393953726617392
XEL,6,20,1.0391585500124148,-1.2544432477690233
CTAS,14,4,1.7929484855166076,
ORLY,16,12,0.5679310165305008,-0.2769650942577913
DXCM,12,4,1.2803326392765488,0.99460699618285
PAYX,4,20,1.340154196735227,-3.936464100332434
MRVL,0,2,0.6277199360759331,0.9380929537617365
ALXN,0,2,,
PCAR,4,2,0.42250654013889993,-0.45023012927522293
NTES,0,4,2.1065350054964873,1.889025282121098
XLNX,4,10,1.8502039407352866,-0.2645631598940089
SWKS,4,10,0.22679905305404263,4.0280810082702745
ANSS,2,20,2.3935913816761616,0.620011020178125
PTON,0,2,,2.988170599170173
TEAM,0,2,1.9804391646688289,0.5836042975417448
VRSK,2,12,0.7735416555886704,0.9743379825812278
FAST,12,12,0.5320583916018778,-0.3263832772338972
OKTA,0,2,0.6157169682153228,1.925392686020753
DLTR,16,4,0.4507641338462119,-1.6619512904062042
CPRT,8,20,0.8097071507555786,1.0847655484930487
SGEN,8,18,0.7816205927560614,-0.22912773836381373
SIRI,2,10,0.9455454249449728,-0.4388847717028812
MXIM,0,2,,
CDW,0,2,0.9927184743711388,1.9296620586667779
VRSN,12,12,0.8126155662748191,1.1238207704049643
SPLK,0,2,1.4742394517914583,1.9886389237206907
CERN,6,12,1.405735780131458,0.3530300064368229
TCOM,4,20,0.5352358755588695,0.5081544091921593
INCY,2,20,0.7986723852830685,0.16937623728709564
CHKP,18,20,-0.06506073144677114,-0.28317463555228783
FOXA,0,2,,1.4426811985315013
FOX,0,2,,1.092201898580105
