,Hurst,Volatility,Beta,Sum Strategy Returns
EURUSD=X,0.43857787951332516,0.11720859473576102,0.12882459795916404,-0.02630648251395719
EURGBP=X,0.5143732782230371,0.08277261504383546,-0.03368064401327842,-0.0261248084259869
EURCHF=X,0.5412398346789425,0.07884086182522021,0.09577349879510866,-0.00940956350826647
EURCAD=X,0.45312230274797954,0.09224641231717168,-0.08611772665412534,-0.02226432595798782
EURCNY=X,0.4598209471903857,0.13056022714663215,0.07059546809534266,-0.11974360191313098
EURJPY=X,0.49600158712811615,0.11587724057127641,0.22202274005661143,-0.007657372780036352
EURSEK=X,0.5031323052528064,0.06974276564356657,-0.11356702957575943,-0.03136711428486092
EURHUF=X,0.4697812874242084,0.0874120374179027,-0.1588836737572086,-0.014943891261664078
GBPUSD=X,0.5154085357368725,0.09431957563490859,0.11446752716791975,-0.027420288617511047
GBPCNY=X,0.48918810183304384,0.1397529262807646,0.0867752751525484,-0.14820457800696146
GBPJPY=X,0.5472241586956376,0.12702184946078143,0.2567389679245141,0.021129251539463306
USDCHF=X,0.49248490241322623,0.10885005454228437,-0.0008851483384418832,-0.020826245069291423
USDCAD=X,0.5107348319509432,0.09012254614822558,-0.18263923424867343,-0.0277566094200372
USDCNY=X,0.6434296058162283,0.04168939725537298,0.00491488820108214,-0.00040390590103441963
USDHKD=X,0.394458178082752,0.01087893351353966,0.0001724128291010141,-0.0035385918620030677
USDSGD=X,0.5511898569247916,0.05241239332619139,-0.06993850629494294,0.0038502125534283726
USDINR=X,0.5787694986464659,0.08005387101639377,-0.03348939635184352,-0.025300175971311935
USDMXN=X,0.5505443486127088,0.12547958893845562,-0.4236274792688503,-0.028614778595082963
USDPHP=X,0.5199195832816973,0.08201163733140807,-0.02973497124439493,-0.05228560817168371
USDTHB=X,0.48044809006773914,0.10592767200943695,-0.017182800827803123,-0.13359126158241938
USDMYR=X,0.49777446324104624,0.0953532684734847,-0.11410544407496748,-0.05037351009747289
USDZAR=X,0.5566115323631469,0.1740726856326832,-0.3573780998865091,-0.011194752147710369
USDJPY=X,0.4839882147439472,0.11772432891510501,0.1574779749347376,-0.024262576329360498
AUDJPY=X,0.45984000575842454,0.1592850121498158,0.47762947361267083,0.01511979277048124
NZDUSD=X,0.464490011279936,0.12694875545457318,0.2871737082885245,-0.0051511440059710005
BTC-USD,0.5659572841762387,0.6203411645283251,0.7332652624423636,0.47252932945164255
ETH-USD,0.5542319625923141,1.016473851744408,1.2260738908968758,0.5855318790138511
BNB-USD,0.5275097665580851,1.23550309110738,1.6751524573995211,0.732405301874836
USDT-USD,0.4915816837327049,0.27446969553890865,-0.1288483081755363,-0.11652785324551057
XRP-USD,0.5411114238120946,1.212998734417221,0.993173583378924,1.072393273681841
ADA-USD,0.5498915893686946,1.29152667810868,2.010290256528523,0.8380838060111432
DOGE-USD,0.5427081667518985,1.4493396024306664,0.6341250900007853,0.7068714053426272
DOT1-USD,0.5456381695900354,1.3034967066485255,1.774875459303482,0.2516041262019488
UNI3-USD,0.47675729303201975,9.01106156216666,2.156972293015281,-0.10585420401691395
LTC-USD,0.5221831104188129,0.9255379236426978,0.9480956180568012,0.2221221687649676
BCH-USD,0.512571426885337,1.194447738471766,1.4262282020821175,0.7847294398039781
LINK-USD,0.5027973143842744,1.2527030230301346,2.090481711820263,0.5849128223580643
VET-USD,0.5518825140457787,1.1175148448420342,2.444930182656907,0.4118349647446095
USDC-USD,0.39718576626297797,0.07071460596320701,-0.12509779629281914,-0.14236191830982317
SOL1-USD,0.6626387207104315,1.3903243727088925,1.7040008740040766,0.6088525707340811
XLM-USD,0.502253954991605,1.2720372710979189,1.1381218589888773,0.7049421959498267
FIL-USD,0.49009177518528335,2.642186437617028,0.636413553901669,-1.3660381561324135
THETA-USD,0.5470875855007047,1.2670649134208394,2.199708551835243,-0.5404952684142594
TRX-USD,0.495905154776071,1.4703831591992833,1.620443586062576,0.75085573399366
XMR-USD,0.5026171906909993,1.040450043218887,0.9835588719362144,0.4274127432413402
LUNA1-USD,0.6036784210231041,1.4213329987824677,2.6286032449740335,0.8305457188592855
NEO-USD,0.5256967053505387,1.3952249473727507,1.365117585674079,0.7092081332521473
EOS-USD,0.4901954760623458,1.35327830320948,1.41953435821452,0.22055904553814676
MIOTA-USD,0.5063541352995675,1.1677870425493158,1.8741290069885617,0.5083594876421634
BSV-USD,0.41330759048469246,1.467925550569511,2.2289594416127856,0.24045788846837335
AAPL,0.5778879576661979,0.451448516706083,1.5896185009952128,0.08612912464144909
MSFT,0.5948595687263377,0.33861270475045957,1.6203904895681647,-0.006497014599467165
AMZN,0.5846993604938341,0.5786530088401475,2.042817660990398,0.12826193411845024
TSLA,0.5935757515792675,0.5607925784642294,1.5310988299565955,0.08607710911459714
FB,0.5968300977720652,0.3676115335724795,1.1979266248387275,0.0038386464227660364
GOOG,0.6108399926514216,0.3028868704705198,1.4829656647777456,0.08982706680913691
GOOGL,0.6113343924965723,0.30275566700866946,1.4850038620217236,0.1052666019014987
NVDA,0.5708109673079583,0.6056806370839097,2.4411463545083976,0.21382853401610655
PYPL,0.6225026738906257,0.343769606205109,1.7144638780768302,0.028075124337653995
INTC,0.5151007425400018,0.39848368385382277,1.7453920030542625,0.005397366390414679
CMCSA,0.5687605839074642,0.3584006511869161,1.3503872313512992,-0.009047563105904122
NFLX,0.5760975143475617,0.5654390819540395,1.4930122182693784,-0.0019045216544169728
ADBE,0.531705698607392,0.49127788003635564,1.8396225994436854,-0.00043114819587789253
CSCO,0.5274660969783526,0.4062354811087444,1.7994233695881072,-0.015177886820898174
PEP,0.5887192567627645,0.2461659411007059,0.8990906789648834,-0.0397206795923451
AVGO,0.6224965995609378,0.35268601177722764,1.5208782640434486,-0.07708506370819598
TXN,0.5253637345446968,0.3799295924191602,1.5466959169185266,0.04316406644632906
TMUS,0.5643490711641524,0.4362970006983812,1.7295643831837422,-0.0652169839816552
COST,0.5786606027767378,0.3186051004281391,1.2002606408261915,-0.03968015607617404
QCOM,0.5181750981792922,0.49358210457106144,1.7663196363648852,0.05289989867525005
AMGN,0.5407216722769476,0.3878118036480133,1.234647199300487,-0.032383254921307364
SBUX,0.6166908359884552,0.3811327160896207,1.4543748878201443,-0.040347492146921175
AMAT,0.5352776651429466,0.483518058737431,1.8469367154481215,0.03585298151007674
CHTR,0.6557880343178422,0.275587675079923,0.9557235293376554,0.02917394220507214
INTU,0.6043436834727607,0.4668882141008854,1.667779342134503,-0.11980188756576865
MU,0.5064131673466121,0.6125303955738085,2.137740727420421,0.12110658180414086
BKNG,0.5365405135519364,0.6383567370226891,2.025106637847633,0.030333213384771063
AMD,0.4882792532667189,0.5952411244497692,2.0293463092763293,0.20098606578621483
LRCX,0.5201105821595082,0.565535519525059,1.9481142699724938,-0.07986481340484486
ISRG,0.5847371930795022,0.5053633475339689,1.6444488196512195,0.1157382484927203
MDLZ,0.5597558613989541,0.215027611338297,0.9290289437384907,-0.04973665819273368
GILD,0.581901308128204,0.4885521529927214,1.287832886536942,-0.11894433524392095
FISV,0.5628949515753303,0.33592987278632325,1.2761356949454719,-0.16216916641215795
ADP,0.6126124952497584,0.26347889258562684,1.1894296997245346,-0.04759388831498727
ZM,0.5787984979552196,0.6860066450107246,0.22407258081596354,0.2691810671163038
MELI,0.5775595679965752,0.5559529362110845,2.532899737380452,0.19365876371712976
ATVI,0.5794272727456509,0.5306329613371983,1.3320833457323658,-0.25038032334898586
CSX,0.5650310317140623,0.30972490604819053,1.3571978954475807,-0.025513589429489923
JD,0.5486485381448193,0.42883643480690975,1.3692945164463353,-0.056874918770150225
ADSK,0.544638465272324,0.46212278057685713,1.7307620468577567,0.04720529046343386
BIDU,0.526541542477993,0.4995535129191921,1.8631196404913357,0.08857182215350984
ILMN,0.5495057776208058,0.5820981715341119,1.7401023980882218,0.08874825009203129
ADI,0.5362809246137716,0.4423486410134866,1.6233095363875125,-0.06509700146503526
NXPI,0.5671815164162215,0.43295674496483494,1.8070704801960475,-0.0940490998405227
VRTX,0.49770668874632085,0.5774914498344754,1.5456295957301187,-0.03249477179031878
KLAC,0.5403892703131099,0.5161946711355323,1.7844312877683928,-0.041068765652651204
MRNA,0.5936988263749984,0.8186780940702431,0.4908322132675811,0.3871089190156181
PDD,0.59552717112418,0.7132319463727033,1.6454381010031576,0.11154934058089792
REGN,0.5533364767555224,0.6642540279944357,1.586517687045152,-0.052037850009211656
KHC,0.5892161059319204,0.29428266831644234,1.1564129700264674,-0.0700693608910691
MNST,0.5697078090540237,0.8118817355621872,0.7349304533477318,-0.5601778175266596
KDP,0.6413017598400361,0.26145877319688604,1.0424955309500028,-0.00589438326071051
MAR,0.5441588603632481,0.34909418315595464,1.7579142249572333,-0.0029713886233976258
ASML,0.5871279351616373,0.4932499663790086,2.2326471670582357,0.10732026888332523
WBA,0.550879577581357,0.2883770091760425,1.0365509177045173,-0.013777338488129577
WDAY,0.5400940965373232,0.3845051209553336,1.3586001101317458,-0.0756260696713884
ROST,0.5614011137036173,0.42584601619488066,1.254142339501077,0.033395613005005605
ALGN,0.5514640493572746,0.6115770496004902,1.893484523877863,0.16742606706124835
EXC,0.5630189643522604,0.23792117037080468,0.7596248771701145,-0.011711289475776834
MCHP,0.567366382251151,0.4833109836648585,1.8566278282497102,-0.12035969106374851
AEP,0.576742624246595,0.20788867601514152,0.642406919835783,0.037891350271062905
EBAY,0.5543729211599676,0.5153794397791829,1.928386665301406,0.0654403903956108
CTSH,0.5619131443555414,0.4903067118241364,1.9840610826649425,-0.03320292004663197
IDXX,0.5943298942083803,0.4014050626674306,1.1121160860368242,-0.0427354057408953
BIIB,0.5434995336521368,0.5847214882555188,1.4561551681168194,-0.12787999865680172
EA,0.5220005804261353,0.48458314756259047,1.5071538474229058,-0.20756734539274369
CDNS,0.5264329149050478,0.47613918258801774,1.658226964406896,0.04569729937276194
SNPS,0.5365735828405579,0.4009987871301847,1.382750268734187,-0.10653699135552387
LULU,0.6031682225561003,0.5066362234363072,2.1621650013558744,0.04300598357789861
MTCH,0.5659460390966206,0.5013717902469521,1.4367857349772606,-0.08786650612711133
DOCU,0.6253228992116271,0.5196007973764765,1.639731637592386,-0.15833650853760464
XEL,0.5956099041282912,0.22282766858032288,0.6714094481148704,0.009222483341911638
CTAS,0.5751508502535827,0.30570077390240813,1.1705416143057303,-0.09503502636511214
ORLY,0.6366686130147333,0.3408709620836596,1.1315598512298235,-0.017314193269675128
DXCM,0.5717118561659014,0.5619388326247795,1.8123014351872595,0.08139300635867165
PAYX,0.5809225535539639,0.34665263893766174,1.1894902909731813,-0.02877213967779295
MRVL,0.5358309401184889,0.5461481500444192,2.0920849085273265,0.05778153293878178
PCAR,0.5454578601706794,0.327186497948458,1.4031464430193978,-0.0076003723746078545
NTES,0.5486941162871449,0.5836595492731079,1.4535183647922987,0.08847463649895194
XLNX,0.5224629272827614,0.4975266637032539,1.8819803355587572,-0.15985175195220025
SWKS,0.5045319826015967,0.6513326779373366,1.827403055216597,-0.13436742984890315
ANSS,0.6012932642106299,0.4219086066016534,1.4496579162263195,-0.099335243196388
PTON,0.6113805166538898,0.73529053472241,0.8341167189505792,0.47183483592338293
TEAM,0.6393357037457912,0.448921672080318,1.21350167950918,-0.09992645566105084
VRSK,0.6011735682440925,0.21829797715100205,0.9121502415021977,-0.05323060473693292
FAST,0.562855124097506,0.36614890239801257,1.3957403198632126,0.015926856010307824
OKTA,0.6062370548912439,0.48160816764042874,1.5826151556767487,0.0631997644780426
DLTR,0.5436180250818747,0.4168678241215928,1.2540874355795455,-0.053715641861814774
CPRT,0.6014055953445291,0.38751933906414565,1.1111893204881402,-0.0009921480810007389
SGEN,0.5565303839335262,0.536254865511056,1.6726586333877573,-0.08685203869857297
SIRI,0.5146115065121893,0.8171711082255055,1.5826734243701817,0.0332735822406618
CDW,0.6229889308233452,0.2824435342462953,1.3054879985310488,0.007371035803535901
VRSN,0.49623420254664585,0.5664750303545552,2.2375611304491967,0.10885664654070396
SPLK,0.5135663565393433,0.45500926823996396,1.5782586051118153,-0.073491696141442
CERN,0.5483418755857431,0.4791522745804965,1.135858540611406,-0.07093716612277187
TCOM,0.5260535739097838,0.5053617119315214,1.701588862252854,0.026851058664574566
INCY,0.5073994533363199,0.6590974051211271,1.9613406687708108,0.13838797954187018
CHKP,0.48770356897788303,0.5215463192984401,1.7639625254138607,-0.03196066114231197
FOXA,0.5221707688626894,0.39055258355818007,1.931341803804546,-0.1231563186513101
FOX,0.5105051670263893,0.3782489349382351,1.9924905153414585,-0.136838425840448
